اسم النبات,اسم المرض,العلاج,طريقة الرش,توقيت الرش,إجراءات إضافية
تفاح,الجرب,مبيدات فطرية من مجموعة الستروبيورين مثل Azoxystrobin، Trifloxystrobin. أو مبيدات النحاس مثل Copper oxychloride,بخاخة يدوية: 0.5 - 1 مل لكل لتر. ماتور رش: النسبة حسب الحجم,صباحًا أو قبل الغروب. كل 10 - 14 يوم,لا يوجد
تفاح,العفن الأسود,كابتان، مانكوزيب، ثيوفانات-ميثيل، مايكيلوبوتانيل,بخاخة: 10-15 جم/10 لتر. ماتور: 1-1.5 كجم/1000 لتر,كل 7-10 أيام,إزالة الأجزاء المصابة. تهوية جيدة
تفاح,صدأ الأرز والتفاح,مانكوزيب، مايكيلوبوتانيل، بروبيكونازول,بخاخة: 10-15 جم/10 لتر. ماتور: 1-1.5 كجم/1000 لتر,كل 7-10 أيام عند الظروف المناسبة,إزالة أوراق مصابة. عدم زراعة بجانب الأرز
كرز,البياض الدقيقي,كبريت، مايكيلوبوتانيل، ترياديمينول,بخاخة: 10-15 جم/10 لتر. ماتور: 1-1.5 كجم/1000 لتر,كل 10-14 يوم. تجنب رش الكبريت فوق 30 درجة,تقليم جيد. إزالة أوراق/ثمار مصابة
ذرة,الصدأ الشائع,"ستروبيورين (Azoxystrobin, Pyraclostrobin)، تريازول (Propiconazole)",بخاخة: 10 مل/10 لتر. ماتور: 500 مل/200 لتر,عند أول ظهور، وكرر كل 7-10 أيام,إزالة الأوراق المصابة، تهوية جيدة، زراعة أصناف مقاومة
ذرة,لفحة الأوراق الشمالية,ستروبيورين (Azoxystrobin)، تريازول (Tebuconazole),بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند بداية ظهور الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، زراعة مقاومة، تحسين التهوية
عنب,تعفن العنب الأسود,تريازول (Myclobutanil، Tebuconazole)، نحاسي (Copper oxychloride),بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول أعراض، كل 7-14 يوم,إزالة الأوراق والعناقيد المصابة، تقليم، أصناف مقاومة
عنب,إسكا (الحصبة السوداء),نحاسي (Copper oxychloride، Bordeaux)، تريازول (Tebuconazole، Myclobutanil)، حيوي (Trichoderma),بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور الأعراض، كل 10-14 يوم,تقليم الأجزاء المصابة، تطهير الأدوات، تحسين الصرف
عنب,اللفحة الورقية,نحاسي، ستروبيورين (Azoxystrobin، Pyraclostrobin)، تريازول (Difenoconazole، Tebuconazole),بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور بقع على الأوراق، كل 7-10 أيام,إزالة الأوراق المصابة، تقليم، تقليل الرطوبة والري العلوي
برتقال,Haunglongbing (Citrus greening),مبيدات حشرية تحتوي على أزاثيوكسيدين (Azoxystrobin)، كاربوفوران (Carbofuran)، وتريازول (Tebuconazole).,بخاخة يدوية: 10-15 مل لكل 10 لتر. ماتور رش: 500-750 مل لكل 200 لتر,كل 7-14 يوم عند ظهور الأعراض,إزالة الثمار المصابة، تحسين الصرف، تقليم الأغصان المتضررة
خوخ,البقعة البكتيرية,مبيدات تحتوي على النحاس مثل Copper oxychloride أو مبيدات تحتوي على التريازول مثل Tebuconazole,بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تحسين التهوية
فلفل حلو,البقعة البكتيرية,مبيدات تحتوي على النحاس مثل Copper oxychloride أو مبيدات تحتوي على التريازول مثل Tebuconazole,بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تحسين التهوية
بطاطس,العفن المبكر,تريازول (Myclobutanil)، مانكوزيب، أزوكسي ستروبين (Azoxystrobin),بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند بداية ظهور الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تحسين التهوية
بطاطس,العفن المتأخر,مبيدات تحتوي على النحاس مثل Copper oxychloride، أو التريازول مثل Tebuconazole,بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تحسين التهوية
بطاطس,نبات صحي,لا حاجة لمبيدات فطرية، فقط الرعاية المنتظمة,بخاخة: لا حاجة,لا حاجة,التقليم الدوري، الري الجيد، تحسين التهوية
كوسا,البياض الدقيقي,مبيدات تحتوي على ستروبيورين مثل Azoxystrobin، أو تريازول مثل Tebuconazole,بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تحسين التهوية
فراولة,احتراق الأوراق,مبيدات تحتوي على النحاس مثل Copper oxychloride أو مبيدات تحتوي على تريازول مثل Tebuconazole,بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تقليم
طماطم,البقعة البكتيرية,مبيدات تحتوي على النحاس مثل Copper oxychloride أو مبيدات تحتوي على التريازول مثل Tebuconazole,بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تحسين التهوية
طماطم,العفن المبكر,مبيدات تحتوي على التريازول مثل Myclobutanil أو أزوكسي ستروبين (Azoxystrobin),بخاخة: 10-15 مل/10 لتر. ماتور: 500-750 مل/200 لتر,عند ظهور أول الأعراض، كرر كل 7-10 أيام,إزالة الأوراق المصابة، تقليم، تحسين التهوية
